2;400
3;102
9;726
13;626
19;1016
20;830
22;227
24;404
29;941
30;188
43;589
44;252
47;525
49;92
51;465
55;588
68;296
74;1214
76;77
77;63
88;569
89;591
94;841
95;79
99;85
100;855
102;934
104;24
105;1191
107;942
110;619
111;523
112;225
115;861
122;183
124;326
126;798
128;702
129;120
130;174
133;1172
134;439
143;262
149;248
154;73
155;978
156;923
157;151
159;201
160;1121
162;940
163;76
165;532
166;743
167;281
168;1126
171;433
172;967
175;293
178;1
182;1255
189;688
190;32
193;896
198;749
200;113
205;928
206;1157
210;429
211;243
212;825
213;715
216;952
218;1092
222;274
223;852
227;754
228;496
229;1135
233;1030
235;700
237;1057
240;785
242;1113
245;1039
255;1009
256;383
262;1201
264;1022
267;485
268;512
270;190
271;835
273;924
278;825
279;791
281;989
282;1010
283;262
285;944
287;433
288;121
289;286
290;15
294;347
295;853
298;499
299;684
300;398
302;550
303;583
304;866
306;91
308;969
313;425
316;374
319;280
321;1199
322;983
327;546
328;323
335;248
346;813
350;489
353;1119
355;655
357;1127
365;1099
367;174
368;774
369;188
371;886
373;129
374;24
377;1198
378;314
385;380
392;1156
393;1094
394;542
396;1253
400;506
402;1270
403;684
407;620
413;4
416;1282
419;284
423;490
433;979
436;508
439;1216
444;225
452;621
453;331
455;165
457;769
459;213
462;353
463;664
466;708
468;370
476;889
477;1248
479;1057
481;63
483;1238
484;503
487;1110
490;1059
491;649
495;709
497;513
498;445
502;718
508;261
509;534
512;345
515;80
516;754
518;1152
520;201
521;552
522;86
525;1284
526;908
534;947
535;512
538;673
539;713
544;422
546;584
547;1195
556;816
558;591
564;839
567;437
568;651
569;932
570;835
571;133
572;747
573;187
581;245
583;645
587;981
589;954
592;258
596;1185
600;837
602;357
604;1230
610;1061
614;1023
615;918
616;249
618;432
620;265
630;861
633;533
634;414
637;717
641;819
651;171
665;983
666;722
668;1022
670;107
671;928
673;732
676;891
678;702
680;401
685;1114
688;241
697;159
699;216
702;1190
705;1177
709;786
710;206
711;551
716;9
718;68
722;13
723;1175
728;172
729;307
732;251
738;1062
744;128
747;293
750;1194
751;77
760;362
762;717
765;600
769;375
771;662
773;1242
775;1008
780;1098
781;899
782;66
787;538
792;603
798;882
802;228
803;40
804;825
805;47
811;512
817;483
818;2
819;659
820;1177
822;628
824;639
828;1000
830;851
840;824
841;459
844;1194
855;463
856;426
863;1276
869;1140
872;144
885;417
886;173
890;1172
894;1287
895;704
897;339
899;1210
900;467
901;731
902;956
903;560
904;19
906;453
908;581
911;260
915;448
917;616
928;1186
930;325
933;707
936;415
942;1251
943;986
945;499
950;98
953;637
955;130
959;514
962;100
963;879
968;1138
971;862
973;241
976;279
980;98
981;1280
982;772
983;909
987;210
994;1094
999;1001
1001;605
1002;1248
1003;1112
1004;355
1007;1268
1009;1039
1024;900
1025;902
1026;457
1032;1015
1042;202
1043;838
1049;1141
1050;1116
1054;894
1057;33
1058;454
1059;946
1063;379
1064;110
1065;510
1066;461
1067;1053
1068;391
1071;650
1073;772
1076;1247
1077;1152
1079;29
1081;1184
1083;571
1089;792
1092;171
1098;34
1100;1013
1105;464
1106;696
1107;1157
1109;564
1110;203
1112;12
1117;1083
1119;1044
1125;99
1128;745
1130;765
1135;686
1144;71
1145;943
1149;92
1150;190
1153;404
1154;1112
1157;332
1158;1159
1164;28
1165;987
1167;1109
1168;231
1169;461
1170;794
1175;75
1177;495
1178;1056
1179;243
1180;128
1182;252
1186;249
1190;1101
1198;913
1211;584
1214;209
1216;189
1221;1220
1223;1094
1225;463
1228;1189
1231;212
1232;153
1235;992
1236;618
1237;923
1240;574
1244;857
1245;491
1246;1189
1248;680
1252;966
1253;938
1254;1141
1259;1142
1261;1170
1262;475
1266;244
1267;171
1268;1239
1269;1259
1271;638
1273;506
1278;1172
1279;256
1283;165
1285;525
1287;820
1288;997
1290;108
1292;430
1294;770
1296;401
1298;655
1299;948
1303;83
1306;1252
1307;1198
1315;400
1320;788
1323;233
1324;850
1328;952
1329;904
1333;678
1334;738
1335;866
1345;731
1350;592
1355;327
1356;379
1357;743
1358;1265
1362;1038
1364;1020
1365;1260
1366;1258
1373;1163
1374;745
1378;880
1381;660
1385;596
1386;826
1388;1236
1391;365
1398;785
1401;525
1403;452
1406;172
1410;99
1416;1004
1417;155
1420;381
1421;723
1423;502
1424;116
1432;1211
1435;43
1436;464
1440;186
1442;1071
1443;745
1444;183
1446;150
1451;540
1452;66
1455;1158
1458;1073
1459;1103
1461;607
1464;336
1466;817
1471;892
1478;1253
1493;873
1494;689
1495;1233
1498;1201
1499;491
1501;121
1502;847
1507;768
1509;928
1515;607
1520;1050
1521;552
1529;607
1532;772
1536;673
1539;1204
1542;35
1544;496
1545;1096
1546;313
1547;1096
1555;720
1556;337
1562;98
1566;1017
1569;1208
1571;147
1580;390
1584;459
1587;1169
1589;99
1590;554
1594;49
1597;84
1598;882
1601;532
1602;263
1611;1039
